"name","class","has_nature","has_garden","has_biking","long","lat","sqft"
"Weir Gulch Park - South","Linear",TRUE,FALSE,TRUE,-105.04977836,39.70775766,457356.814602343
"Aztlan Park","Neighborhood",FALSE,FALSE,FALSE,-105.00474827,39.77756473,160506.891753511
"Denver Botanic Gardens","Special Use",FALSE,TRUE,FALSE,-104.96149187,39.73202721,990089.665972856
"Sanderson Gulch - Florida & Raritan","Linear",TRUE,FALSE,TRUE,-105.01212295,39.68889697,679421.27853705
"Lowry Open Space","Open Space",TRUE,FALSE,TRUE,-104.88082509,39.71927559,2461127.81323938
"Montclair Recreation Center","Recreation Center",FALSE,FALSE,FALSE,-104.89508112,39.72742602,244296.719723273
"Parkfield","Regional",TRUE,FALSE,FALSE,-104.80506474,39.79181258,3843443.26013225
"Skyline Park","Special Use",FALSE,FALSE,FALSE,-104.99521203,39.74856259,111433.487577591
"Wagon Trail Park","Linear",TRUE,FALSE,TRUE,-105.10148814,39.62924014,697977.855778731
"Swansea Park","Neighborhood",FALSE,FALSE,TRUE,-104.95557186,39.78554954,466902.089136909
"Highline Canal (Parker to Havana)","Linear",TRUE,FALSE,TRUE,-104.88489926,39.70188346,1252971.92057189
"Milstein (Phil) Park","Linear",FALSE,FALSE,TRUE,-105.01313861,39.7232893,238612.754158854
"Highline Canal (Colorado to Parker)","Linear",TRUE,FALSE,TRUE,-104.91112922,39.66592587,2686127.50926292
"Kelly Open Space","Open Space",TRUE,FALSE,FALSE,-104.8905515,39.72976602,2590613.62665791
"Hampden Heights West Park","Linear",TRUE,FALSE,TRUE,-104.88793324,39.65775006,186685.173887143
"Creekfront Park","Pocket",FALSE,FALSE,TRUE,-105.00018199,39.7464265,33229.2702092553
"Crescent Park","Neighborhood",TRUE,FALSE,TRUE,-104.89857614,39.72924484,311480.788251785
"Elmendorf Park","Neighborhood",FALSE,FALSE,FALSE,-104.84142359,39.79256388,252138.097525081
"Garland South Greenbelt","Linear",TRUE,FALSE,TRUE,-104.91051648,39.69037509,107713.367838533
"Southwest Recreation Center","Neighborhood",FALSE,FALSE,FALSE,-105.09935606,39.62899527,270682.731985292
"City of Potenza Park","Neighborhood",FALSE,FALSE,TRUE,-104.92362203,39.69600698,198360.347129689
"Ash Grove Park","Neighborhood",FALSE,FALSE,TRUE,-104.92411106,39.68527668,317928.454726626
"Congress Park","Community",FALSE,FALSE,FALSE,-104.95708382,39.73009892,835390.090260937
"Loretto Heights Park","Neighborhood",TRUE,FALSE,TRUE,-105.03277884,39.66386211,598874.80837521
"Hutchinson (Theodore A) Park","Open Space",TRUE,FALSE,TRUE,-104.90384432,39.65841965,709481.210405745
"Newton Park","Mountain",FALSE,FALSE,FALSE,-105.29730199,39.51217387,18971995.5339301
"Hutchinson East Park","Linear",TRUE,FALSE,TRUE,-104.89729808,39.6585628,248602.197322839
"Steele St Bikeway","Linear",FALSE,FALSE,FALSE,-104.9500095,39.70605012,26186.2834589395
"Central Park Rec Center","Recreation Center",FALSE,FALSE,TRUE,-104.87453712,39.76087547,461151.578226506
"Prairie Uplands Park","Open Space",TRUE,FALSE,TRUE,-104.87287345,39.76548279,1935746.81449215
"Benedict Fountain Park","Neighborhood",FALSE,FALSE,FALSE,-104.98228625,39.74797401,126671.149355081
"Centennial Gardens","Special Use",TRUE,FALSE,TRUE,-105.00994479,39.75254786,239342.147509097
"Sand Creek Open Space","Undeveloped",FALSE,FALSE,FALSE,-104.8726623,39.7673232,4477459.1581043
"Highline Canal (GVR)","Linear",TRUE,FALSE,TRUE,-104.75049849,39.77677104,1177021.13914858
"Montbello Central Park","Community",FALSE,FALSE,TRUE,-104.82765913,39.78406031,1605306.31848749
"Elyria Park","Neighborhood",FALSE,FALSE,FALSE,-104.96401321,39.78447628,111468.458174484
"Aspgren (Clifford) Park","Neighborhood",FALSE,FALSE,FALSE,-105.0026841,39.70443418,160175.823048602
"Harvard Gulch Golf Course","Golf",FALSE,FALSE,FALSE,-104.97886048,39.67244904,563841.442274559
"Dunham (Lee) Park","Neighborhood",FALSE,FALSE,FALSE,-104.95469686,39.77830207,106983.46929873
"Harvard Gulch Park","Community",FALSE,FALSE,TRUE,-104.97986219,39.6732092,1659894.37080848
"Green Valley Ranch East Park","Community",FALSE,FALSE,FALSE,-104.75080728,39.77883643,585531.471368605
"Village Place Park","Neighborhood",FALSE,FALSE,TRUE,-104.83270966,39.77793424,425590.501319736
"Deer Creek Tract","Mountain",TRUE,FALSE,FALSE,-105.13932699,39.54744533,3864303.42275152
"Echo Lake Park","Mountain",FALSE,FALSE,FALSE,-105.6013283,39.65936373,26231326.6893025
"O'Fallon Park","Mountain",FALSE,FALSE,FALSE,-105.28801802,39.64620756,35451776.9197594
"Mount Judge Tract","Mountain",TRUE,FALSE,FALSE,-105.45254668,39.66387618,15197768.7686014
"Birch Hill Tract","Mountain",TRUE,FALSE,FALSE,-105.24514682,39.60411817,7126104.45766193
"Hobbs Peak Tract","Mountain",TRUE,FALSE,FALSE,-105.30288831,39.59294731,1690739.74112302
"Colorow Point Park","Mountain",FALSE,FALSE,FALSE,-105.2492714,39.73201821,12189.111800002
"Starbuck Park","Mountain",TRUE,FALSE,FALSE,-105.24030846,39.663159,463934.764169057
"Katherine Craig Park","Mountain",TRUE,FALSE,FALSE,-105.28789558,39.7116713,2278164.46285931
"Parmalee Gulch Tract","Mountain",TRUE,FALSE,FALSE,-105.25625645,39.62994841,119572.962157336
"Bergen Park","Mountain",FALSE,FALSE,FALSE,-105.36199398,39.68988123,923658.243597863
"Forsberg Park","Mountain",TRUE,FALSE,FALSE,-105.41877611,39.69088985,137495.982798761
"Corwina Park","Mountain",FALSE,FALSE,FALSE,-105.28018998,39.65998442,12091562.2952559
"Dedisse Park","Mountain",TRUE,FALSE,FALSE,-105.33414974,39.63218658,18302193.1337933
"Morrison (George Sr) Park","Neighborhood",FALSE,FALSE,TRUE,-104.96790148,39.76172864,163986.761166769
"Hicks Mountain Tract","Mountain",FALSE,FALSE,FALSE,-105.44082147,39.64563513,34415199.9676403
"Genesee Park","Mountain",FALSE,FALSE,FALSE,-105.31275491,39.71529615,104746163.078076
"Summit Lake Park","Mountain",FALSE,FALSE,FALSE,-105.64346261,39.59821796,7034880.55442754
"Fillius Park","Mountain",FALSE,FALSE,FALSE,-105.35239639,39.6960758,4778998.38060086
"Red Rocks Park","Mountain",FALSE,FALSE,FALSE,-105.20432737,39.66571801,31881711.4204577
"Ruby Hill Park","Regional",TRUE,FALSE,TRUE,-105.00390376,39.6860143,3565914.87328342
"Unnamed 46th & Pecos Park","Neighborhood",FALSE,FALSE,FALSE,-105.00722351,39.78080377,151874.096533418
"Old Cavalcade Trail","Linear",FALSE,FALSE,FALSE,-104.91760912,39.69292982,80805.3836752418
"Town Center Park","Community",FALSE,FALSE,TRUE,-104.76749197,39.7877779,1112089.46125418
"DEN Open Space","Open Space",TRUE,FALSE,FALSE,-104.78920037,39.81125932,8624988.28502617
"Flying J. Ranch Tracts","Mountain",TRUE,FALSE,FALSE,-105.32991031,39.54648468,3355260.22724321
"Legault Mountain Tracts","Mountain",TRUE,FALSE,FALSE,-105.25038915,39.53169753,5866279.0297251
"Pence Park","Mountain",FALSE,FALSE,FALSE,-105.2850683,39.63410271,12994750.4184618
"Little Park","Mountain",FALSE,FALSE,FALSE,-105.24708841,39.65655471,17970496.7579925
"Mount Lindo Tract","Mountain",TRUE,FALSE,FALSE,-105.20095436,39.61622071,6663074.27891425
"Strain Gulch Tract","Mountain",TRUE,FALSE,FALSE,-105.20957811,39.63284624,1682725.39014685
"Stanley Park Tract","Mountain",TRUE,FALSE,FALSE,-105.28463527,39.60582048,3233894.1729962
"Bell Park","Mountain",TRUE,FALSE,FALSE,-105.30386723,39.61752571,20764901.0545661
"Elephant Butte Tract","Mountain",FALSE,FALSE,FALSE,-105.37472254,39.62973303,27419317.2150513
"North Turkey Creek Tract","Mountain",TRUE,FALSE,FALSE,-105.28007735,39.58239265,1699587.57599945
"Cub Creek Park","Mountain",FALSE,FALSE,FALSE,-105.32477187,39.61521055,22704604.4475065
"Turkey Creek Park","Mountain",FALSE,FALSE,FALSE,-105.22409687,39.5934193,2555135.75420797
"Fenders Tract","Mountain",TRUE,FALSE,FALSE,-105.20566601,39.57150332,1760822.13522042
"Berrian Mountain Tract","Mountain",TRUE,FALSE,FALSE,-105.2959158,39.55959637,20951925.9432319
"West Jefferson School Tract","Mountain",TRUE,FALSE,FALSE,-105.31139303,39.5467429,3464109.86398634
"Double Header Mountain Tract","Mountain",TRUE,FALSE,FALSE,-105.27088495,39.5494541,1854912.61069854
"Yeagge Peak Tract","Mountain",TRUE,FALSE,FALSE,-105.22082569,39.54202903,1789637.50449807
"Bergen Peak Tract","Mountain",FALSE,FALSE,FALSE,-105.3859787,39.66970877,27040572.9427358
"Mount Falcon Tract","Mountain",TRUE,FALSE,FALSE,-105.21726226,39.6258702,3674310.06921468
"Greenway Park","Linear",TRUE,TRUE,TRUE,-104.89118022,39.7529316,1761147.62644623
"Globeville Landing Park","Neighborhood",FALSE,FALSE,TRUE,-104.97684284,39.77706119,350225.072559207
"Gates Crescent Park","Neighborhood",TRUE,FALSE,TRUE,-105.01667684,39.74726497,471026.152263122
"City of Cuernavaca Park","Community",TRUE,FALSE,TRUE,-105.00039375,39.7626276,1077922.13041295
"Marrama Park","Neighborhood",FALSE,FALSE,FALSE,-104.76321646,39.77303343,64244.7886806701
"Green Valley Ranch West Park","Neighborhood",FALSE,FALSE,FALSE,-104.76815762,39.77859945,152436.955232067
"Williams (Dr. Daniel Hale) Park","Pocket",FALSE,FALSE,FALSE,-104.97108908,39.75964068,26683.5386496944
"Falcon Park","Neighborhood",FALSE,FALSE,TRUE,-104.82837032,39.79297321,419599.999636877
"Bayaud Park","Linear",FALSE,FALSE,TRUE,-104.89870471,39.71462494,302487.171501947
"Prairie Park","Linear",TRUE,FALSE,TRUE,-104.9516049,39.6816885,323454.505837984
"Sanderson Gulch - Irving & Java","Linear",FALSE,FALSE,TRUE,-105.02809252,39.68677934,288070.388319021
"Unnamed 47th & Telluride Park","Undeveloped",FALSE,FALSE,FALSE,-104.78062098,39.78044228,572456.737534034
"Lookout Mountain Park","Mountain",TRUE,FALSE,FALSE,-105.24180865,39.73318902,3269488.7340858
"Highline Canal (Maxwell to 56th)","Undeveloped",TRUE,FALSE,TRUE,-104.75210411,39.79664896,185992.363778876
"City of Chennai Park","Neighborhood",TRUE,FALSE,TRUE,-104.90212166,39.68652829,351762.33381198
"Cheesman Park","Regional",FALSE,FALSE,TRUE,-104.96645337,39.73278794,3514617.61024191
"Buchtel Centennial Park","Pocket",FALSE,FALSE,FALSE,-104.95727457,39.68210794,17036.7742191973
"Silverman (Melvin F) Park","Neighborhood",FALSE,FALSE,TRUE,-104.84029108,39.78582173,391358.153443586
"Diamond Hill Promenade","Linear",FALSE,FALSE,TRUE,-105.01619254,39.75336161,86520.7347389494
"Eisenhower (Mamie Doud) Park","Community",FALSE,FALSE,TRUE,-104.93615046,39.65955259,879587.941904152
"La Familia Recreation Center","Recreation Center",FALSE,FALSE,FALSE,-104.99433304,39.71555611,37073.0696215152
"Daniels Park","Mountain",FALSE,FALSE,FALSE,-104.92991576,39.48269378,42846915.7933578
"Bear Creek Canyon Tract","Mountain",TRUE,FALSE,FALSE,-105.22071025,39.65653541,5528958.88657779
"Ford (Barney L) Park","Neighborhood",FALSE,FALSE,FALSE,-104.81720457,39.79179241,189864.383880995
"Hallack Park","Neighborhood",FALSE,FALSE,FALSE,-105.03073141,39.74697827,129466.747142871
"McNichols (William H) Park","Neighborhood",FALSE,FALSE,TRUE,-104.89935554,39.74471184,142032.486558797
"Burns (DC) Park","Neighborhood",FALSE,FALSE,FALSE,-104.9393433,39.7126777,538079.439520068
"Community Plaza Park","Pocket",FALSE,FALSE,FALSE,-105.0048538,39.76270257,41409.0008658856
"Douglass (Fredrick) Park","Pocket",FALSE,FALSE,FALSE,-104.96807887,39.75936188,22127.4548534196
"Jacobs (Frances Weisbart) Park","Neighborhood",FALSE,FALSE,TRUE,-104.90574483,39.69656292,523617.74686441
"Northfield Pond Park","Open Space",TRUE,FALSE,TRUE,-104.89779145,39.78248559,1460657.27702011
"Denver Skate Park","Special Use",FALSE,FALSE,FALSE,-105.00272548,39.75958824,83308.8603716516
"Fuller Park","Neighborhood",FALSE,FALSE,FALSE,-104.96717374,39.75756123,254635.982555723
"Highland Senior Center Park","Neighborhood",FALSE,FALSE,FALSE,-105.03718529,39.75818269,81047.3223443741
"Vanderbilt East Park","Undeveloped",FALSE,FALSE,FALSE,-104.99270822,39.70133589,152631.919443607
"Cheesman Park Esplanade","Neighborhood",FALSE,FALSE,FALSE,-104.96529818,39.72819308,115777.970960127
"Carpio Sanguinette Park","Neighborhood",FALSE,FALSE,TRUE,-104.97236721,39.79025568,676090.919000619
"Mestizo-Curtis Park","Neighborhood",FALSE,FALSE,TRUE,-104.97632553,39.76127925,370893.146874201
"St. Charles Place Park","Neighborhood",FALSE,FALSE,FALSE,-104.97112646,39.76957454,106862.560906139
"Robinson Park","Neighborhood",FALSE,FALSE,FALSE,-104.92692905,39.72020351,295543.93170473
"Fishback Park","Neighborhood",TRUE,FALSE,TRUE,-105.01188045,39.75290998,94593.6383532591
"Civic Center Park","Regional",FALSE,FALSE,FALSE,-104.98881275,39.73908209,461936.149433616
"Crestmoor Park","Community",FALSE,FALSE,TRUE,-104.91534993,39.71536396,1621398.34446772
"Viking Park","Neighborhood",FALSE,FALSE,TRUE,-105.02392505,39.7590745,250242.89161023
"Confluence East Park","Community",FALSE,FALSE,TRUE,-105.00760105,39.75455696,40011.6956949538
"Highline Canal (Orleans to Nepal)","Linear",TRUE,FALSE,TRUE,-104.73919178,39.78386097,45290.7048523252
"First Creek - Dunkirk to Tower","Open Space",TRUE,FALSE,TRUE,-104.76715655,39.79384422,531568.605969186
"Highline Canal (Picadilly to Orleans)","Linear",TRUE,FALSE,TRUE,-104.73595231,39.78372522,119825.163772811
"Manley (James N) Park","Neighborhood",FALSE,FALSE,TRUE,-104.95769339,39.72286778,62406.6075034575
"Lowry Sports Complex","Athletic Complex",FALSE,FALSE,TRUE,-104.88971011,39.71724295,2239729.98861393
"Veterans Park","Community",FALSE,FALSE,TRUE,-104.96278518,39.68683198,706022.060835817
"Johnson-Habitat Park","Community",TRUE,FALSE,FALSE,-104.99827405,39.70567174,334505.841853397
"Northfield Athletic Complex","Athletic Complex",FALSE,FALSE,TRUE,-104.87904447,39.7968785,909208.594760981
"Lower Lakewood Gulch","Open Space",FALSE,FALSE,TRUE,-105.02021684,39.73861389,288025.207715828
"Platte River at Elitch Gardens","Linear",TRUE,FALSE,TRUE,-105.01436093,39.74819434,292464.407447071
"Ford Pl","Linear",FALSE,FALSE,FALSE,-105.03137743,39.69870112,62217.7080424818
"Bulk Fuel Farm","Undeveloped",FALSE,FALSE,FALSE,-104.88968119,39.7726042,1030547.93444557
"Inspiration Point Park","Community",TRUE,FALSE,TRUE,-105.05673811,39.78662488,1109573.95113772
"Maestas (Eddie) Park","Special Use",FALSE,TRUE,FALSE,-104.98766365,39.7550742,16114.1656398659
"Martinez (Joseph P) Park","Neighborhood",FALSE,FALSE,TRUE,-105.04208879,39.73071477,529324.095676232
"Golden Key Park","Neighborhood",FALSE,FALSE,TRUE,-104.88675532,39.66314864,123265.12228539
"Garland (David T) Park","Community",FALSE,FALSE,TRUE,-104.91688165,39.69538814,2190289.29152314
"Harvard Gulch West","Linear",FALSE,FALSE,TRUE,-105.02134405,39.67056947,523358.446124008
"Unnamed Byers & Pecos Park","Pocket",FALSE,FALSE,FALSE,-105.00701228,39.71189448,43167.9862988405
"Hentzell (Paul A) Park","Open Space",TRUE,FALSE,TRUE,-104.87117455,39.66332109,2578455.07046466
"Platt (James H) Park","Neighborhood",FALSE,FALSE,FALSE,-104.98340258,39.68848321,162166.476779227
"Athmar Park","Neighborhood",FALSE,FALSE,FALSE,-105.01972179,39.6851676,143301.967124708
"Pinecrest Village Park","Neighborhood",FALSE,FALSE,TRUE,-105.05556228,39.64668384,309971.41000689
"Cranmer Park","Community",FALSE,FALSE,FALSE,-104.93549784,39.7193483,1051751.37559506
"Garfield Lake Park","Community",FALSE,FALSE,TRUE,-105.03556208,39.69542307,1263170.66345601
"Grant Frontier Park","Neighborhood",TRUE,FALSE,TRUE,-104.9969857,39.67397333,386336.855244046
"Washington Park","Regional",FALSE,FALSE,TRUE,-104.97096087,39.70007732,6853293.68255149
"Derby Canal","Undeveloped",FALSE,FALSE,FALSE,-104.78368424,39.78017178,285406.607884747
"Lowry Dam","Open Space",FALSE,FALSE,FALSE,-104.88362635,39.7158548,2009520.70686219
"Central Park","Regional",TRUE,FALSE,TRUE,-104.88418477,39.76156414,3310860.69896132
"20th St Rec Center","Recreation Center",FALSE,FALSE,FALSE,-104.99000668,39.75130533,12542.5230706656
"Hampden Heights Park","Community",FALSE,FALSE,TRUE,-104.87744155,39.65804452,1414076.08018294
"Magna Carta Park","Neighborhood",FALSE,FALSE,TRUE,-104.93994799,39.65407127,156272.343336936
"City Park Municipal Golf Course","Golf",FALSE,FALSE,FALSE,-104.95036585,39.75279644,6041236.06845847
"Zeckendorf Plaza Park","Pocket",FALSE,FALSE,FALSE,-104.98650793,39.72704633,14859.4622225062
"Harvey Park","Community",FALSE,FALSE,TRUE,-105.0414696,39.67866999,1065378.96435578
"Observatory Park","Neighborhood",FALSE,FALSE,FALSE,-104.95296167,39.6764225,454600.224717199
"Rosedale Park","Neighborhood",TRUE,TRUE,TRUE,-104.98389765,39.67281416,554988.038513617
"Weir Gulch Park - North","Linear",TRUE,FALSE,TRUE,-105.0384883,39.7183702,641577.599401221
"Gates Tennis Center","Special Use",FALSE,FALSE,FALSE,-104.94844496,39.7138264,199626.57894405
