"","Id","Id2","Geography","Estimate..Total.","Margin.of.Error..Total.","Estimate..Total....White.alone","Margin.of.Error..Total....White.alone","Estimate..Total....Black.or.African.American.alone","Margin.of.Error..Total....Black.or.African.American.alone","Estimate..Total....American.Indian.and.Alaska.Native.alone","Margin.of.Error..Total....American.Indian.and.Alaska.Native.alone","Estimate..Total....Asian.alone","Margin.of.Error..Total....Asian.alone","Estimate..Total....Native.Hawaiian.and.Other.Pacific.Islander.alone","Margin.of.Error..Total....Native.Hawaiian.and.Other.Pacific.Islander.alone","Estimate..Total....Some.other.race.alone","Margin.of.Error..Total....Some.other.race.alone","Estimate..Total....Two.or.more.races.","Margin.of.Error..Total....Two.or.more.races.","Estimate..Total....Two.or.more.races....Two.races.including.Some.other.race","Margin.of.Error..Total....Two.or.more.races....Two.races.including.Some.other.race","Estimate..Total....Two.or.more.races....Two.races.excluding.Some.other.race..and.three.or.more.races","Margin.of.Error..Total....Two.or.more.races....Two.races.excluding.Some.other.race..and.three.or.more.races"
"117","1500000US080310019011",80310019011,"Block Group 1, Census Tract 19.01, Denver County, Colorado",879,362,470,301,319,251,0,11,36,58,0,11,46,98,8,12,0,11,8,12
"118","1500000US080310019012",80310019012,"Block Group 2, Census Tract 19.01, Denver County, Colorado",1763,338,1343,334,135,98,43,49,32,42,0,11,193,169,17,27,0,11,17,27
"119","1500000US080310019021",80310019021,"Block Group 1, Census Tract 19.02, Denver County, Colorado",812,204,651,188,21,20,0,11,85,48,4,7,10,21,41,41,0,11,41,41
"120","1500000US080310020001",80310020001,"Block Group 1, Census Tract 20, Denver County, Colorado",1918,201,1684,199,112,83,0,11,53,50,10,15,35,44,24,28,0,11,24,28
"121","1500000US080310021001",80310021001,"Block Group 1, Census Tract 21, Denver County, Colorado",1140,310,910,227,108,101,0,11,0,11,0,11,0,11,122,113,0,11,122,113
"122","1500000US080310021002",80310021002,"Block Group 2, Census Tract 21, Denver County, Colorado",1516,444,1338,359,0,11,0,11,69,101,0,11,39,70,70,77,0,11,70,77
"123","1500000US080310021003",80310021003,"Block Group 3, Census Tract 21, Denver County, Colorado",1010,218,894,220,11,19,0,11,29,45,0,11,66,72,10,15,0,11,10,15
"124","1500000US080310021004",80310021004,"Block Group 4, Census Tract 21, Denver County, Colorado",442,252,393,243,0,11,49,71,0,11,0,11,0,11,0,11,0,11,0,11
"125","1500000US080310021005",80310021005,"Block Group 5, Census Tract 21, Denver County, Colorado",1763,575,1458,545,0,11,0,11,9,16,0,11,160,152,136,188,0,11,136,188
"126","1500000US080310023001",80310023001,"Block Group 1, Census Tract 23, Denver County, Colorado",2567,520,1858,465,451,462,24,37,0,11,0,11,168,253,66,73,0,11,66,73
"127","1500000US080310023002",80310023002,"Block Group 2, Census Tract 23, Denver County, Colorado",1056,335,830,319,183,143,0,11,0,11,0,11,8,17,35,40,17,27,18,29
"128","1500000US080310023003",80310023003,"Block Group 3, Census Tract 23, Denver County, Colorado",2365,476,1738,458,426,202,0,11,0,11,0,11,0,11,201,144,119,136,82,66
"129","1500000US080310024021",80310024021,"Block Group 1, Census Tract 24.02, Denver County, Colorado",1118,166,642,136,340,118,18,29,28,28,0,11,41,49,49,32,0,11,49,32
"130","1500000US080310024022",80310024022,"Block Group 2, Census Tract 24.02, Denver County, Colorado",769,160,597,155,110,58,7,11,3,7,0,11,17,26,35,24,0,11,35,24
"131","1500000US080310024031",80310024031,"Block Group 1, Census Tract 24.03, Denver County, Colorado",1257,256,846,252,173,178,0,11,18,23,0,11,179,146,41,36,9,16,32,31
"132","1500000US080310024032",80310024032,"Block Group 2, Census Tract 24.03, Denver County, Colorado",884,195,701,198,39,37,29,47,24,25,0,11,22,33,69,87,0,11,69,87
"133","1500000US080310024033",80310024033,"Block Group 3, Census Tract 24.03, Denver County, Colorado",1492,377,1059,276,201,145,8,13,0,11,0,11,37,57,187,178,116,172,71,61
"134","1500000US080310026011",80310026011,"Block Group 1, Census Tract 26.01, Denver County, Colorado",1600,299,1345,282,88,38,14,24,73,76,0,11,16,26,64,51,17,27,47,44
"135","1500000US080310026012",80310026012,"Block Group 2, Census Tract 26.01, Denver County, Colorado",1532,278,1280,272,197,86,0,11,15,24,0,11,17,27,23,26,10,16,13,20
"136","1500000US080310026021",80310026021,"Block Group 1, Census Tract 26.02, Denver County, Colorado",2702,203,2330,214,124,66,14,16,48,41,0,11,50,51,136,89,11,17,125,86
"137","1500000US080310027011",80310027011,"Block Group 1, Census Tract 27.01, Denver County, Colorado",1030,193,901,178,86,86,0,11,12,20,0,11,0,11,31,35,0,11,31,35
"138","1500000US080310027012",80310027012,"Block Group 2, Census Tract 27.01, Denver County, Colorado",1165,265,881,194,13,21,22,30,32,49,10,21,177,214,30,35,15,23,15,25
"139","1500000US080310027013",80310027013,"Block Group 3, Census Tract 27.01, Denver County, Colorado",1637,220,1236,185,102,92,0,11,72,70,0,11,107,119,120,64,39,43,81,59
"140","1500000US080310027014",80310027014,"Block Group 4, Census Tract 27.01, Denver County, Colorado",841,156,695,132,0,11,30,50,15,25,0,11,0,11,101,59,41,68,60,50
"141","1500000US080310027021",80310027021,"Block Group 1, Census Tract 27.02, Denver County, Colorado",1534,248,1244,246,0,11,14,24,129,70,0,11,106,146,41,44,0,11,41,44
"142","1500000US080310027022",80310027022,"Block Group 2, Census Tract 27.02, Denver County, Colorado",1617,316,1558,319,0,11,0,11,13,21,0,11,15,23,31,33,0,11,31,33
"143","1500000US080310027023",80310027023,"Block Group 3, Census Tract 27.02, Denver County, Colorado",1023,264,899,258,38,41,0,11,31,32,0,11,28,44,27,41,0,11,27,41
"144","1500000US080310027024",80310027024,"Block Group 4, Census Tract 27.02, Denver County, Colorado",673,141,551,146,31,35,12,20,19,29,0,11,0,11,60,62,0,11,60,62
"145","1500000US080310027025",80310027025,"Block Group 5, Census Tract 27.02, Denver County, Colorado",1110,219,942,231,28,30,2,4,74,59,0,11,10,16,54,87,0,11,54,87
"146","1500000US080310027031",80310027031,"Block Group 1, Census Tract 27.03, Denver County, Colorado",1673,301,953,177,431,254,54,59,61,74,0,11,81,93,93,87,0,11,93,87
"147","1500000US080310027032",80310027032,"Block Group 2, Census Tract 27.03, Denver County, Colorado",1257,233,1158,251,14,21,0,11,17,28,0,11,55,68,13,23,0,11,13,23
"148","1500000US080310027033",80310027033,"Block Group 3, Census Tract 27.03, Denver County, Colorado",1201,321,1080,310,22,21,0,11,43,49,0,11,0,11,56,65,0,11,56,65
"149","1500000US080310027034",80310027034,"Block Group 4, Census Tract 27.03, Denver County, Colorado",1110,242,1032,239,5,10,2,6,16,27,0,11,22,25,33,39,0,11,33,39
"150","1500000US080310028011",80310028011,"Block Group 1, Census Tract 28.01, Denver County, Colorado",1028,223,968,223,0,11,0,11,23,29,0,11,0,11,37,46,0,11,37,46
"151","1500000US080310028012",80310028012,"Block Group 2, Census Tract 28.01, Denver County, Colorado",778,156,727,138,22,26,0,11,0,11,0,11,29,45,0,11,0,11,0,11
"152","1500000US080310028013",80310028013,"Block Group 3, Census Tract 28.01, Denver County, Colorado",899,181,804,181,0,11,0,11,31,29,0,11,0,11,64,45,0,11,64,45
"153","1500000US080310028021",80310028021,"Block Group 1, Census Tract 28.02, Denver County, Colorado",1728,345,1482,289,116,119,12,23,26,31,0,11,59,81,33,39,0,11,33,39
"154","1500000US080310028022",80310028022,"Block Group 2, Census Tract 28.02, Denver County, Colorado",764,178,746,180,0,11,0,11,0,11,0,11,18,28,0,11,0,11,0,11
"155","1500000US080310028023",80310028023,"Block Group 3, Census Tract 28.02, Denver County, Colorado",1008,252,942,248,39,40,9,15,16,27,0,11,0,11,2,4,0,11,2,4
"156","1500000US080310028024",80310028024,"Block Group 4, Census Tract 28.02, Denver County, Colorado",834,192,789,200,0,11,0,11,16,25,0,11,15,23,14,21,0,11,14,21
"157","1500000US080310028031",80310028031,"Block Group 1, Census Tract 28.03, Denver County, Colorado",712,195,682,193,0,11,0,11,16,27,0,11,14,22,0,11,0,11,0,11
"158","1500000US080310028032",80310028032,"Block Group 2, Census Tract 28.03, Denver County, Colorado",1236,249,1124,243,0,11,0,11,96,116,0,11,0,11,16,26,0,11,16,26
"159","1500000US080310028033",80310028033,"Block Group 3, Census Tract 28.03, Denver County, Colorado",1389,337,1215,264,15,25,0,11,20,33,27,44,30,47,82,94,0,11,82,94
"160","1500000US080310028034",80310028034,"Block Group 4, Census Tract 28.03, Denver County, Colorado",1321,242,1012,186,72,89,0,11,116,159,0,11,76,81,45,48,0,11,45,48
"161","1500000US080310029011",80310029011,"Block Group 1, Census Tract 29.01, Denver County, Colorado",891,158,833,165,21,25,0,11,10,16,0,11,0,11,27,36,0,11,27,36
"162","1500000US080310029012",80310029012,"Block Group 2, Census Tract 29.01, Denver County, Colorado",1187,177,1064,184,0,11,8,13,44,63,0,11,6,10,65,56,0,11,65,56
"163","1500000US080310029013",80310029013,"Block Group 3, Census Tract 29.01, Denver County, Colorado",1168,177,1054,192,29,35,0,11,27,27,0,11,26,42,32,40,0,11,32,40
"164","1500000US080310029021",80310029021,"Block Group 1, Census Tract 29.02, Denver County, Colorado",1923,297,1769,317,32,39,0,11,22,20,0,11,15,23,85,69,10,16,75,69
"165","1500000US080310029022",80310029022,"Block Group 2, Census Tract 29.02, Denver County, Colorado",1290,226,1163,227,0,11,0,11,29,43,0,11,26,40,72,75,10,17,62,73
"166","1500000US080310029023",80310029023,"Block Group 3, Census Tract 29.02, Denver County, Colorado",1117,207,1060,198,13,22,0,11,20,23,0,11,0,11,24,38,0,11,24,38
"167","1500000US080310030011",80310030011,"Block Group 1, Census Tract 30.01, Denver County, Colorado",984,261,918,280,0,11,0,11,15,24,0,11,0,11,51,59,0,11,51,59
"168","1500000US080310030012",80310030012,"Block Group 2, Census Tract 30.01, Denver County, Colorado",1272,298,1174,312,66,90,0,11,0,11,0,11,0,11,32,52,0,11,32,52
"169","1500000US080310030013",80310030013,"Block Group 3, Census Tract 30.01, Denver County, Colorado",958,227,916,224,0,11,0,11,0,11,0,11,0,11,42,66,0,11,42,66
"170","1500000US080310030014",80310030014,"Block Group 4, Census Tract 30.01, Denver County, Colorado",1181,225,1133,213,0,11,0,11,14,24,0,11,19,29,15,24,0,11,15,24
"171","1500000US080310030015",80310030015,"Block Group 5, Census Tract 30.01, Denver County, Colorado",1317,305,1263,307,1,2,0,11,0,11,0,11,0,11,53,47,21,29,32,38
"172","1500000US080310030021",80310030021,"Block Group 1, Census Tract 30.02, Denver County, Colorado",594,152,559,142,8,12,0,11,27,30,0,11,0,11,0,11,0,11,0,11
"173","1500000US080310030022",80310030022,"Block Group 2, Census Tract 30.02, Denver County, Colorado",785,168,676,163,0,11,0,11,53,74,0,11,29,43,27,44,0,11,27,44
"174","1500000US080310030023",80310030023,"Block Group 3, Census Tract 30.02, Denver County, Colorado",1181,217,1077,212,41,27,0,11,32,21,0,11,23,29,8,12,0,11,8,12
"175","1500000US080310030031",80310030031,"Block Group 1, Census Tract 30.03, Denver County, Colorado",1643,177,1603,178,17,26,0,11,10,15,0,11,0,11,13,20,13,20,0,11
"176","1500000US080310030032",80310030032,"Block Group 2, Census Tract 30.03, Denver County, Colorado",1648,186,1276,193,47,34,30,47,184,56,0,11,37,31,74,54,0,11,74,54
"177","1500000US080310030041",80310030041,"Block Group 1, Census Tract 30.04, Denver County, Colorado",2546,409,1923,352,64,47,5,9,483,305,0,11,15,18,56,67,35,53,21,41
"178","1500000US080310030042",80310030042,"Block Group 2, Census Tract 30.04, Denver County, Colorado",2141,414,1946,386,21,36,0,11,32,37,0,11,0,11,142,167,0,11,142,167
"179","1500000US080310030043",80310030043,"Block Group 3, Census Tract 30.04, Denver County, Colorado",1530,398,1391,295,109,150,0,11,0,11,0,11,0,11,30,46,0,11,30,46
"180","1500000US080310031011",80310031011,"Block Group 1, Census Tract 31.01, Denver County, Colorado",1576,122,1112,117,238,51,6,9,16,17,0,11,86,71,118,56,16,18,102,56
"181","1500000US080310031021",80310031021,"Block Group 1, Census Tract 31.02, Denver County, Colorado",1685,217,1145,204,388,173,11,21,82,58,0,11,8,18,51,32,0,11,51,32
"182","1500000US080310031022",80310031022,"Block Group 2, Census Tract 31.02, Denver County, Colorado",1633,216,1310,227,153,76,0,11,19,22,12,20,87,92,52,54,0,11,52,54
"183","1500000US080310032011",80310032011,"Block Group 1, Census Tract 32.01, Denver County, Colorado",1359,258,1100,251,198,101,0,11,38,41,0,11,0,11,23,28,0,11,23,28
"184","1500000US080310032012",80310032012,"Block Group 2, Census Tract 32.01, Denver County, Colorado",1471,269,1297,260,1,2,0,11,48,64,17,28,26,39,82,70,0,11,82,70
"185","1500000US080310032013",80310032013,"Block Group 3, Census Tract 32.01, Denver County, Colorado",1193,329,1120,324,20,32,19,29,17,27,0,11,0,11,17,27,0,11,17,27
"186","1500000US080310032014",80310032014,"Block Group 4, Census Tract 32.01, Denver County, Colorado",760,247,733,246,0,11,0,11,12,21,0,11,0,11,15,23,0,11,15,23
"187","1500000US080310032015",80310032015,"Block Group 5, Census Tract 32.01, Denver County, Colorado",684,210,649,209,0,11,21,34,0,11,0,11,0,11,14,22,0,11,14,22
"188","1500000US080310032021",80310032021,"Block Group 1, Census Tract 32.02, Denver County, Colorado",1101,182,937,185,90,61,16,23,17,24,0,11,34,47,7,17,0,11,7,17
"189","1500000US080310032022",80310032022,"Block Group 2, Census Tract 32.02, Denver County, Colorado",811,147,773,141,0,11,5,9,0,11,0,11,18,28,15,24,0,11,15,24
"190","1500000US080310032023",80310032023,"Block Group 3, Census Tract 32.02, Denver County, Colorado",1224,188,1079,179,1,3,4,3,130,66,0,11,1,2,9,14,0,11,9,14
"191","1500000US080310032031",80310032031,"Block Group 1, Census Tract 32.03, Denver County, Colorado",774,189,715,188,0,11,15,24,20,22,0,11,0,11,24,38,0,11,24,38
"192","1500000US080310032032",80310032032,"Block Group 2, Census Tract 32.03, Denver County, Colorado",1222,185,1136,178,0,11,18,21,0,11,0,11,0,11,68,68,11,19,57,64
"193","1500000US080310032033",80310032033,"Block Group 3, Census Tract 32.03, Denver County, Colorado",1126,191,1062,189,0,11,18,32,33,37,0,11,0,11,13,22,0,11,13,22
"194","1500000US080310033001",80310033001,"Block Group 1, Census Tract 33, Denver County, Colorado",1109,195,1046,185,0,11,0,11,54,60,0,11,9,16,0,11,0,11,0,11
"195","1500000US080310033002",80310033002,"Block Group 2, Census Tract 33, Denver County, Colorado",884,208,858,207,18,27,0,11,8,13,0,11,0,11,0,11,0,11,0,11
"196","1500000US080310033003",80310033003,"Block Group 3, Census Tract 33, Denver County, Colorado",1002,261,790,155,0,11,0,11,30,33,0,11,100,125,82,109,71,108,11,18
"197","1500000US080310033004",80310033004,"Block Group 4, Census Tract 33, Denver County, Colorado",565,109,519,106,0,11,12,15,10,16,0,11,0,11,24,36,0,11,24,36
"198","1500000US080310034011",80310034011,"Block Group 1, Census Tract 34.01, Denver County, Colorado",550,112,508,98,10,16,0,11,0,11,0,11,11,17,21,33,21,33,0,11
"199","1500000US080310034012",80310034012,"Block Group 2, Census Tract 34.01, Denver County, Colorado",1992,188,1876,179,31,34,0,11,62,44,0,11,9,13,14,22,0,11,14,22
"200","1500000US080310034021",80310034021,"Block Group 1, Census Tract 34.02, Denver County, Colorado",1202,256,1092,239,10,15,0,11,56,41,0,11,0,11,44,48,8,12,36,47
"201","1500000US080310034022",80310034022,"Block Group 2, Census Tract 34.02, Denver County, Colorado",2496,258,2338,268,0,11,0,11,99,85,0,11,21,34,38,36,9,14,29,33
"202","1500000US080310034023",80310034023,"Block Group 3, Census Tract 34.02, Denver County, Colorado",1123,233,1038,208,0,11,0,11,53,80,0,11,1,3,31,49,0,11,31,49
"203","1500000US080310035001",80310035001,"Block Group 1, Census Tract 35, Denver County, Colorado",856,325,600,239,18,28,18,29,0,11,0,11,212,212,8,13,8,13,0,11
"204","1500000US080310035002",80310035002,"Block Group 2, Census Tract 35, Denver County, Colorado",1474,338,1175,366,40,51,24,26,9,15,0,11,226,183,0,11,0,11,0,11
"205","1500000US080310035003",80310035003,"Block Group 3, Census Tract 35, Denver County, Colorado",1648,480,1509,476,0,11,12,19,0,11,0,11,93,104,34,42,0,11,34,42
"206","1500000US080310035004",80310035004,"Block Group 4, Census Tract 35, Denver County, Colorado",1111,394,925,397,67,63,29,34,0,11,0,11,90,125,0,11,0,11,0,11
"207","1500000US080310035005",80310035005,"Block Group 5, Census Tract 35, Denver County, Colorado",1831,401,1408,401,190,69,12,16,0,11,0,11,203,180,18,28,0,11,18,28
"208","1500000US080310036011",80310036011,"Block Group 1, Census Tract 36.01, Denver County, Colorado",1167,236,964,212,43,42,3,6,17,27,0,11,63,59,77,59,33,40,44,44
"209","1500000US080310036012",80310036012,"Block Group 2, Census Tract 36.01, Denver County, Colorado",690,194,377,126,168,94,0,11,9,14,0,11,112,143,24,23,0,11,24,23
"210","1500000US080310036013",80310036013,"Block Group 3, Census Tract 36.01, Denver County, Colorado",1676,313,1140,285,240,143,0,11,6,10,0,11,234,148,56,45,9,14,47,43
"211","1500000US080310036014",80310036014,"Block Group 4, Census Tract 36.01, Denver County, Colorado",467,238,285,219,145,96,0,11,0,11,0,11,11,18,26,32,0,11,26,32
"212","1500000US080310036015",80310036015,"Block Group 5, Census Tract 36.01, Denver County, Colorado",549,271,242,115,138,85,0,11,0,11,0,11,169,259,0,11,0,11,0,11
"213","1500000US080310036021",80310036021,"Block Group 1, Census Tract 36.02, Denver County, Colorado",1365,372,1197,379,141,94,0,11,0,11,0,11,27,43,0,11,0,11,0,11
"214","1500000US080310036022",80310036022,"Block Group 2, Census Tract 36.02, Denver County, Colorado",542,196,158,92,173,96,0,11,0,11,0,11,203,215,8,13,0,11,8,13
"215","1500000US080310036023",80310036023,"Block Group 3, Census Tract 36.02, Denver County, Colorado",527,224,408,223,82,60,0,11,14,23,0,11,6,10,17,20,0,11,17,20
"216","1500000US080310036024",80310036024,"Block Group 4, Census Tract 36.02, Denver County, Colorado",1061,359,700,287,284,255,22,34,0,11,0,11,32,26,23,32,0,11,23,32
"217","1500000US080310036025",80310036025,"Block Group 5, Census Tract 36.02, Denver County, Colorado",1099,384,463,196,396,242,20,31,52,84,0,11,103,166,65,64,0,11,65,64
"218","1500000US080310036031",80310036031,"Block Group 1, Census Tract 36.03, Denver County, Colorado",1341,314,519,261,658,232,0,11,0,11,0,11,112,75,52,45,10,18,42,41
"219","1500000US080310036032",80310036032,"Block Group 2, Census Tract 36.03, Denver County, Colorado",1795,331,1050,255,647,179,0,11,0,11,0,11,43,83,55,74,0,11,55,74
"220","1500000US080310037011",80310037011,"Block Group 1, Census Tract 37.01, Denver County, Colorado",1637,293,1415,292,182,162,0,11,17,20,0,11,8,19,15,18,0,11,15,18
"221","1500000US080310037012",80310037012,"Block Group 2, Census Tract 37.01, Denver County, Colorado",1757,245,1511,237,90,69,6,8,98,78,0,11,3,8,49,40,25,28,24,30
"222","1500000US080310037021",80310037021,"Block Group 1, Census Tract 37.02, Denver County, Colorado",1801,432,1692,438,88,76,0,11,0,11,0,11,21,36,0,11,0,11,0,11
"223","1500000US080310037022",80310037022,"Block Group 2, Census Tract 37.02, Denver County, Colorado",817,269,662,255,135,113,0,11,0,11,0,11,0,11,20,33,0,11,20,33
"224","1500000US080310037023",80310037023,"Block Group 3, Census Tract 37.02, Denver County, Colorado",959,218,852,218,68,58,0,11,0,11,0,11,0,11,39,44,0,11,39,44
"225","1500000US080310037024",80310037024,"Block Group 4, Census Tract 37.02, Denver County, Colorado",1263,342,934,312,68,75,18,27,17,26,0,11,19,29,207,153,111,125,96,90
"226","1500000US080310037031",80310037031,"Block Group 1, Census Tract 37.03, Denver County, Colorado",1400,218,1110,182,64,47,31,34,21,20,0,11,59,85,115,70,17,26,98,64
"227","1500000US080310037032",80310037032,"Block Group 2, Census Tract 37.03, Denver County, Colorado",1693,170,1513,195,106,79,0,11,18,29,0,11,8,12,48,39,0,11,48,39
"228","1500000US080310038001",80310038001,"Block Group 1, Census Tract 38, Denver County, Colorado",1039,251,944,253,46,70,0,11,34,56,0,11,0,11,15,25,0,11,15,25
"229","1500000US080310038002",80310038002,"Block Group 2, Census Tract 38, Denver County, Colorado",488,135,473,133,0,11,0,11,15,24,0,11,0,11,0,11,0,11,0,11
"230","1500000US080310038003",80310038003,"Block Group 3, Census Tract 38, Denver County, Colorado",1899,419,1686,413,35,40,0,11,101,104,0,11,19,30,58,54,0,11,58,54
"231","1500000US080310038004",80310038004,"Block Group 4, Census Tract 38, Denver County, Colorado",1775,309,1691,320,13,21,0,11,41,40,0,11,30,34,0,11,0,11,0,11
"232","1500000US080310038005",80310038005,"Block Group 5, Census Tract 38, Denver County, Colorado",1487,353,1319,347,0,11,0,11,17,27,0,11,0,11,151,147,14,23,137,136
"233","1500000US080310039011",80310039011,"Block Group 1, Census Tract 39.01, Denver County, Colorado",2046,368,1998,366,17,27,0,11,31,36,0,11,0,11,0,11,0,11,0,11
"234","1500000US080310039012",80310039012,"Block Group 2, Census Tract 39.01, Denver County, Colorado",985,264,953,266,16,26,0,11,16,26,0,11,0,11,0,11,0,11,0,11
"235","1500000US080310039013",80310039013,"Block Group 3, Census Tract 39.01, Denver County, Colorado",1566,268,1522,263,44,46,0,11,0,11,0,11,0,11,0,11,0,11,0,11
"236","1500000US080310039021",80310039021,"Block Group 1, Census Tract 39.02, Denver County, Colorado",1333,217,1297,223,0,11,0,11,20,23,0,11,0,11,16,25,0,11,16,25
"237","1500000US080310039022",80310039022,"Block Group 2, Census Tract 39.02, Denver County, Colorado",1983,380,1836,365,18,22,13,20,15,16,0,11,76,73,25,29,0,11,25,29
"238","1500000US080310039023",80310039023,"Block Group 3, Census Tract 39.02, Denver County, Colorado",1367,274,1199,269,29,45,0,11,32,29,0,11,40,49,67,64,0,11,67,64
